Order - Number,Date - Order Date,Market - Store Name,Market - Market Order URL,Market - Markeplace Name,Amount - Shipping Cost,Amount - Order Shipping,Amount - Paid by Customer,Amount - Order Subtotal,Amount - Order Tax,Amount - Order Total,Count - Number of Items,Custom - Field 1
4044570464,5/1/2026 12:27:45 PM,Etched Elegance Shop,,Etsy,6.25,7.38,27.89,19.35,1.16,27.89,1,
4044583606,5/1/2026 12:39:43 PM,Etched Elegance Shop,,Etsy,6.25,7.22,29.85,21.35,1.28,29.85,1,
4049974585,5/1/2026 12:20:01 PM,Woodmark Custom,,Etsy,6.95,8.13,32.71,21.46,3.12,32.71,1,
4050013055,5/1/2026 12:57:20 PM,Woodmark Custom,,Etsy,5.48,7.42,25.59,16.19,1.98,25.59,1,
4050009591,5/1/2026 12:53:52 PM,Woodmark Custom,,Etsy,6.24,10.43,54.07,39.58,4.06,54.07,2,
4044593354,5/1/2026 12:48:32 PM,Woodmark Custom,,Etsy,5.28,6.65,28.03,19.79,1.59,28.03,1,
4044664454,5/1/2026 1:54:14 PM,Custom Gift by FTM,,Etsy,6.66,0.00,38.32,35.73,2.59,38.32,1,
4044652892,5/1/2026 1:43:53 PM,SenaCustomStore,,Etsy,10.30,10.30,53.59,40.25,3.04,53.59,1,
4044643838,5/1/2026 1:35:30 PM,YemlihaDesign,,Etsy,8.18,9.58,65.39,52.10,3.71,65.39,2,
4044644560,5/1/2026 1:36:12 PM, Velvet Whiskey Design,,Etsy,8.18,8.18,38.87,28.88,1.81,38.87,1,
4044648810,5/1/2026 1:40:06 PM,Woodmark Custom,,Etsy,5.40,6.98,24.79,16.19,1.62,24.79,1,
4044654694,5/1/2026 1:45:31 PM,Woodmark Custom,,Etsy,7.77,7.77,64.39,52.41,4.21,64.39,1,
4050038287,5/1/2026 1:21:50 PM,Woodmark Custom,,Etsy,5.48,7.42,25.74,16.19,2.13,25.74,1,
4044671534,5/1/2026 2:00:36 PM,Marbella Custom Gifts,,Etsy,6.30,6.30,36.68,27.98,2.40,36.68,1,
4044677690,5/1/2026 2:06:18 PM,SenaCustomStore,,Etsy,10.30,10.30,53.90,40.25,3.35,53.90,1,
4044671012,5/1/2026 2:00:04 PM,Etched Elegance Shop,,Etsy,6.98,7.38,27.63,18.44,1.81,27.63,1,
4044681858,5/1/2026 2:10:12 PM,Woodmark Custom,,Etsy,6.37,7.42,30.17,21.46,1.29,30.17,1,
4044691570,5/1/2026 2:19:09 PM,Woodmark Custom,,Etsy,6.95,8.13,34.99,24.70,2.16,34.99,1,
4044686466,5/1/2026 2:14:34 PM,Woodmark Custom,,Etsy,5.17,6.44,20.36,12.59,1.33,20.36,1,
4044708704,5/1/2026 2:34:48 PM,YemlihaDesign,,Etsy,8.13,8.13,79.08,66.78,4.17,79.08,1,
4050105655,5/1/2026 2:30:16 PM,Marbella Custom Gifts,,Etsy,9.06,9.58,89.27,75.00,4.69,89.27,1,
4050097321,5/1/2026 2:21:48 PM,Woodmark Custom,,Etsy,6.95,8.13,34.74,24.70,1.91,34.74,1,
4044747864,5/1/2026 3:10:44 PM, Velvet Whiskey Design,,Etsy,10.80,10.80,51.66,36.89,3.97,51.66,3,
4044743876,5/1/2026 3:06:50 PM,Woodmark Custom,,Etsy,6.37,7.42,34.77,24.70,2.65,34.77,1,
4044764524,5/1/2026 3:26:31 PM,Etched Elegance Shop,,Etsy,6.17,6.88,27.80,19.35,1.57,27.80,1,
4044755884,5/1/2026 3:18:23 PM,Woodmark Custom,,Etsy,6.36,8.13,43.85,32.38,3.34,43.85,2,
4044758036,5/1/2026 3:20:30 PM,Woodmark Custom,,Etsy,5.97,9.35,45.71,32.38,3.70,45.43,1,
4044759542,5/1/2026 3:21:52 PM,Woodmark Custom,,Etsy,5.40,6.98,25.14,16.19,1.97,25.14,1,
4050171501,5/1/2026 3:39:18 PM,Woodmark Custom,,Etsy,5.48,7.42,25.26,16.19,1.65,25.26,1,
4050189919,5/1/2026 3:59:29 PM,Woodmark Custom,,Etsy,13.04,13.04,84.69,65.14,6.51,84.69,1,
4050199695,5/1/2026 4:10:44 PM,Devran Custom Design,,Etsy,5.28,5.28,21.39,14.90,1.21,21.39,1,
4044807662,5/1/2026 4:08:34 PM,Lumina Custom Design,,Etsy,7.38,7.38,69.66,56.24,6.04,69.66,4,
4044817668,5/1/2026 4:18:55 PM,Woodmark Custom,,Etsy,5.48,7.42,28.45,19.79,1.24,28.45,1,
4050222499,5/1/2026 4:36:53 PM,Woodmark Custom,,Etsy,5.48,7.42,25.56,16.19,1.95,25.56,1,
4044837104,5/1/2026 4:40:14 PM,Devran Custom Design,,Etsy,9.71,9.71,33.97,23.04,1.22,33.97,1,
4044842302,5/1/2026 4:45:44 PM,Devran Custom Design,,Etsy,5.24,5.24,17.48,11.10,1.14,17.48,1,
4044838682,5/1/2026 4:41:53 PM, Velvet Whiskey Design,,Etsy,8.13,8.13,20.10,11.02,0.95,20.10,1,
4044848184,5/1/2026 4:52:22 PM,Woodmark Custom,,Etsy,7.02,7.38,50.48,39.58,3.52,50.48,1,
4044837292,5/1/2026 4:40:27 PM,Woodmark Custom,,Etsy,9.06,9.06,66.54,52.41,5.07,66.54,1,
4050239313,5/1/2026 4:56:56 PM,Etched Elegance Shop,,Etsy,8.22,9.94,35.22,23.69,1.59,35.22,1,
4050256019,5/1/2026 5:17:43 PM, Velvet Whiskey Design,,Etsy,11.03,11.68,103.71,86.62,5.41,103.71,1,
4050242763,5/1/2026 5:01:04 PM,Woodmark Custom,,Etsy,5.40,6.98,17.01,8.99,1.04,17.01,1,
4044875692,5/1/2026 5:23:42 PM,Woodmark Custom,,Etsy,5.62,7.60,21.27,12.59,0.80,20.99,1,
4044852672,5/1/2026 4:57:18 PM,Woodmark Custom,,Etsy,7.52,11.50,33.87,19.79,2.58,33.87,1,
4044892150,5/1/2026 5:43:17 PM,Etched Elegance Shop,,Etsy,5.89,7.42,25.31,16.32,1.57,25.31,1,
4050270875,5/1/2026 5:36:26 PM,Etched Elegance Shop,,Etsy,6.25,6.98,32.70,23.87,1.85,32.70,1,
4044899494,5/1/2026 5:53:23 PM,Woodmark Custom,,Etsy,5.48,7.42,29.45,19.79,2.24,29.45,1,
4050277799,5/1/2026 5:44:53 PM,Woodmark Custom,,Etsy,5.48,7.42,25.65,16.19,2.04,25.65,1,
4044913736,5/1/2026 6:12:57 PM,Woodmark Custom,,Etsy,13.59,13.59,83.26,65.14,4.25,82.98,1,
4044902790,5/1/2026 5:57:53 PM,Woodmark Custom,,Etsy,5.97,8.13,21.68,12.59,0.96,21.68,1,
4050306641,5/1/2026 6:19:01 PM,Devran Custom Design,,Etsy,7.90,8.18,43.49,32.00,3.31,43.49,2,
4044903348,5/1/2026 5:58:38 PM,Devran Custom Design,,Etsy,5.40,5.40,17.23,11.16,0.67,17.23,1,
4050310311,5/1/2026 6:23:32 PM,Lumina Custom Design,,Etsy,9.06,9.58,38.05,26.11,2.36,38.05,1,
4050296877,5/1/2026 6:06:40 PM,Lumina Custom Design,,Etsy,5.89,5.89,17.54,10.26,1.39,17.54,1,
4050319117,5/1/2026 6:34:37 PM,YemlihaDesign,,Etsy,8.01,9.12,79.19,64.65,5.42,79.19,3,
4044940398,5/1/2026 6:47:59 PM,YemlihaDesign,,Etsy,6.25,6.25,54.33,45.00,3.08,54.33,2,
4050309605,5/1/2026 6:22:45 PM,Etched Elegance Shop,,Etsy,12.63,24.41,150.27,116.10,9.48,149.99,6,
4050332799,5/1/2026 6:53:10 PM,Woodmark Custom,,Etsy,5.97,8.13,21.82,12.59,1.10,21.82,1,
4044938106,5/1/2026 6:45:06 PM,Woodmark Custom,,Etsy,5.40,6.98,28.38,19.79,1.61,28.38,1,
4050346681,5/1/2026 7:11:35 PM,Woodmark Custom,,Etsy,5.28,6.65,28.29,19.79,1.85,28.29,1,
4044968736,5/1/2026 7:26:10 PM,Woodmark Custom,,Etsy,5.28,6.65,20.59,12.59,1.35,20.59,1,
4050394657,5/1/2026 8:10:14 PM,Devran Custom Design,,Etsy,7.90,8.18,105.61,89.38,8.05,105.61,1,
4050383067,5/1/2026 7:55:45 PM,SenaCustomStore,,Etsy,10.30,10.30,54.78,40.25,4.23,54.78,1,
4045013230,5/1/2026 8:27:50 PM,Etched Elegance Shop,,Etsy,5.89,7.42,30.18,21.42,1.34,30.18,1,
4050396363,5/1/2026 8:12:23 PM,Etched Elegance Shop,,Etsy,5.89,7.42,30.67,21.42,1.83,30.67,1,
4050366777,5/1/2026 7:36:28 PM,YemlihaDesign,,Etsy,8.13,9.06,135.23,118.75,7.42,135.23,5,
4050379785,5/1/2026 7:51:43 PM,YemlihaDesign,,Etsy,7.42,8.18,32.18,21.55,2.45,32.18,1,
4044987948,5/1/2026 7:52:26 PM,YemlihaDesign,,Etsy,7.46,8.51,32.43,21.55,2.37,32.43,1,
4050409887,5/1/2026 8:29:58 PM,Woodmark Custom,,Etsy,5.48,7.42,21.34,12.59,1.33,21.34,1,
4044984588,5/1/2026 7:47:43 PM,Woodmark Custom,,Etsy,6.69,6.88,44.48,34.69,2.91,44.48,1,
4050404703,5/1/2026 8:23:20 PM,Woodmark Custom,,Etsy,5.48,7.42,23.61,16.19,0.00,23.61,1,
4050406937,5/1/2026 8:26:11 PM,Woodmark Custom,,Etsy,9.06,9.06,65.99,52.41,4.52,65.99,1,
4045033926,5/1/2026 8:54:48 PM,Devran Custom Design,,Etsy,5.28,5.28,17.98,11.10,1.60,17.98,1,
4050430951,5/1/2026 8:57:47 PM,SenaCustomStore,,Etsy,13.04,13.04,39.20,23.84,2.32,39.20,1,
4045024088,5/1/2026 8:41:41 PM, Velvet Whiskey Design,,Etsy,8.18,9.06,66.82,57.76,0.00,66.82,1,
4045030618,5/1/2026 8:50:23 PM,Woodmark Custom,,Etsy,5.97,8.13,29.65,19.79,1.73,29.65,1,
4045034710,5/1/2026 8:55:52 PM,Woodmark Custom,,Etsy,5.48,7.42,25.08,16.19,1.47,25.08,1,
4045036024,5/1/2026 8:57:38 PM,Woodmark Custom,,Etsy,5.40,6.98,24.37,16.19,1.20,24.37,1,
4050410617,5/1/2026 8:30:54 PM,Woodmark Custom,,Etsy,5.48,7.42,21.66,12.59,1.65,21.66,1,
4050459801,5/1/2026 9:36:56 PM,Devran Custom Design,,Etsy,20.64,23.36,162.61,126.48,12.77,162.61,8,
4045090104,5/1/2026 10:13:17 PM,Devran Custom Design,,Etsy,8.18,8.18,105.36,89.38,7.80,105.36,1,
4045102976,5/1/2026 10:34:41 PM,Devran Custom Design,,Etsy,9.02,9.42,34.39,23.04,1.93,34.39,1,
4050491705,5/1/2026 10:29:21 PM,YemlihaDesign,,Etsy,10.65,11.55,120.64,104.20,4.89,120.64,4,
4050446791,5/1/2026 9:18:45 PM,YemlihaDesign,,Etsy,9.94,11.90,67.88,52.10,3.88,67.88,2,
4050441533,5/1/2026 9:11:43 PM,Woodmark Custom,,Etsy,5.48,7.42,21.08,12.59,1.07,21.08,1,
4045104864,5/1/2026 10:37:53 PM,Woodmark Custom,,Etsy,5.64,7.30,28.72,19.79,1.63,28.72,1,
4045059236,5/1/2026 9:28:40 PM,Woodmark Custom,,Etsy,9.06,9.06,66.54,52.41,5.07,66.54,1,
4045070258,5/1/2026 9:44:35 PM,Woodmark Custom,,Etsy,7.02,7.38,41.06,31.48,2.20,41.06,1,
4045103300,5/1/2026 10:35:17 PM,Woodmark Custom,,Etsy,5.62,7.60,29.08,19.79,1.41,28.80,1,
4045111440,5/1/2026 10:49:52 PM,Custom Gift by FTM,,Etsy,5.72,0.00,24.42,23.03,1.39,24.42,1,
4045121658,5/1/2026 11:11:17 PM,Etched Elegance Shop,,Etsy,10.13,12.22,96.85,78.36,6.27,96.85,4,
4045132674,5/1/2026 11:35:44 PM,Lumina Custom Design,,Etsy,10.80,10.80,42.87,29.63,2.44,42.87,1,
4050509065,5/1/2026 11:00:41 PM,Woodmark Custom,,Etsy,5.48,11.50,33.17,19.79,1.88,33.17,1,
4050537559,5/2/2026 12:05:01 AM,Devran Custom Design,,Etsy,8.18,8.18,36.43,26.59,1.66,36.43,1,
4050552953,5/2/2026 12:49:16 AM,YemlihaDesign,,Etsy,11.90,14.17,97.56,78.15,5.24,97.56,1,
4045170734,5/2/2026 1:20:30 AM,Woodmark Custom,,Etsy,5.72,7.46,29.09,19.79,1.84,29.09,1,
4045198026,5/2/2026 2:51:24 AM,SenaCustomStore,,Etsy,14.31,14.31,54.56,40.25,0.00,54.56,1,
4045196726,5/2/2026 2:47:02 AM,Etched Elegance Shop,,Etsy,6.25,7.38,33.35,24.50,1.47,33.35,1,
4050585059,5/2/2026 2:27:42 AM,Woodmark Custom,,Etsy,5.97,8.13,26.87,16.19,2.55,26.87,1,
4050621313,5/2/2026 4:39:33 AM, Velvet Whiskey Design,,Etsy,7.77,7.77,59.21,49.04,2.40,59.21,4,
4050641337,5/2/2026 5:47:17 AM,Devran Custom Design,,Etsy,5.83,5.83,29.88,22.20,1.85,29.88,2,
4050635315,5/2/2026 5:28:17 AM,Woodmark Custom,,Etsy,5.48,7.42,24.58,16.19,0.97,24.58,1,
4045269964,5/2/2026 6:20:32 AM,Custom Gift by FTM,,Etsy,8.71,0.00,90.06,84.96,5.10,90.06,1,
4045290472,5/2/2026 7:01:26 AM,Lumina Custom Design,,Etsy,5.83,5.83,17.22,10.26,1.13,17.22,1,
4050668529,5/2/2026 6:53:21 AM,Woodmark Custom,,Etsy,5.48,7.42,25.68,16.19,2.07,25.68,1,
4050658519,5/2/2026 6:31:30 AM,Woodmark Custom,,Etsy,5.40,6.98,24.79,16.19,1.62,24.79,1,
4045270074,5/2/2026 6:20:50 AM,Woodmark Custom,,Etsy,5.48,7.42,25.03,16.19,1.42,25.03,1,
4050685349,5/2/2026 7:21:51 AM,SenaCustomStore,,Etsy,8.56,8.56,52.47,40.25,3.66,52.47,1,
4045297032,5/2/2026 7:14:14 AM, Velvet Whiskey Design,,Etsy,7.90,7.90,21.92,12.26,1.76,21.92,1,
4050687013,5/2/2026 7:24:14 AM,Marbella Custom Gifts,,Etsy,5.83,5.83,47.91,39.70,2.38,47.91,1,
3963733580,5/2/2026 8:29:40 AM,YemlihaDesign,,Etsy,5.72,0.00,0.00,0.00,0.00,0.00,0,
4050710837,5/2/2026 8:00:06 AM,Lumina Custom Design,,Etsy,7.31,7.56,44.96,34.56,2.84,44.96,3,
4045343898,5/2/2026 8:23:44 AM,Lumina Custom Design,,Etsy,6.07,6.07,16.85,9.88,0.90,16.85,1,
4050695281,5/2/2026 7:36:40 AM,Devran Custom Design,,Etsy,0.00,0.00,4.84,4.51,0.33,4.84,1,
4050704261,5/2/2026 7:50:20 AM,Woodmark Custom,,Etsy,5.40,6.98,28.58,19.79,1.81,28.58,1,
4050740629,5/2/2026 8:36:23 AM,Woodmark Custom,,Etsy,5.40,6.98,25.61,17.59,1.04,25.61,1,
4050732527,5/2/2026 8:27:14 AM,Woodmark Custom,,Etsy,6.00,7.86,24.00,14.39,1.75,24.00,1,
4050758785,5/2/2026 8:56:39 AM,Etched Elegance Shop,,Etsy,8.74,9.95,31.72,19.59,2.18,31.72,1,
4045335366,5/2/2026 8:11:54 AM, Velvet Whiskey Design,,Etsy,6.37,6.37,22.06,14.44,1.25,22.06,1,
4050745615,5/2/2026 8:42:14 AM,Woodmark Custom,,Etsy,5.40,6.98,19.44,11.19,1.27,19.44,1,
4045422100,5/2/2026 9:50:56 AM,Custom Gift by FTM,,Etsy,5.40,5.40,20.24,13.60,1.24,20.24,1,
4045411964,5/2/2026 9:40:52 AM,Woodmark Custom,,Etsy,5.24,6.98,19.53,11.19,1.36,19.53,1,
4045392304,5/2/2026 9:20:47 AM,Woodmark Custom,,Etsy,5.48,7.42,23.19,14.39,1.38,23.19,1,
4050785961,5/2/2026 9:27:49 AM,Woodmark Custom,,Etsy,5.40,6.98,23.56,14.39,2.19,23.56,1,
4050784879,5/2/2026 9:26:42 AM,Lumina Custom Design,,Etsy,8.13,8.13,23.07,13.06,1.88,23.07,1,
4045450122,5/2/2026 10:17:44 AM,Woodmark Custom,,Etsy,5.48,7.42,23.72,14.39,1.91,23.72,1,
4045461170,5/2/2026 10:28:25 AM,Woodmark Custom,,Etsy,5.72,7.80,23.31,14.39,1.12,23.31,1,
4050834029,5/2/2026 10:19:27 AM,Woodmark Custom,,Etsy,5.48,7.42,23.72,14.39,1.91,23.72,1,
4050822637,5/2/2026 10:07:23 AM,Woodmark Custom,,Etsy,5.48,7.42,26.07,17.59,1.06,26.07,1,
4045478708,5/2/2026 10:45:06 AM,Woodmark Custom,,Etsy,5.48,7.42,20.15,11.19,1.54,20.15,1,
4045440430,5/2/2026 10:08:44 AM,SenaCustomStore,,Etsy,10.30,10.30,53.90,40.25,3.35,53.90,1,
4050845413,5/2/2026 10:31:02 AM,Etched Elegance Shop,,Etsy,6.87,7.02,65.36,54.06,4.28,65.36,3,
4045434970,5/2/2026 10:03:24 AM,SenaCustomStore,,Etsy,10.90,17.12,102.45,80.50,4.83,102.45,2,
4045438844,5/2/2026 10:07:06 AM,Etched Elegance Shop,,Etsy,5.83,6.98,25.16,16.32,1.86,25.16,1,
4045461136,5/2/2026 10:28:24 AM,Etched Elegance Shop,,Etsy,6.30,7.46,24.76,16.32,0.98,24.76,1,
4050818937,5/2/2026 10:03:23 AM,Lumina Custom Design,,Etsy,5.89,5.89,16.72,9.88,0.95,16.72,1,
4045488410,5/2/2026 10:54:12 AM,Woodmark Custom,,Etsy,5.62,7.60,23.75,14.39,1.48,23.47,1,
4045491072,5/2/2026 10:56:41 AM,Lumina Custom Design,,Etsy,5.83,5.83,16.77,9.88,1.06,16.77,1,
4045503544,5/2/2026 11:07:51 AM,Lumina Custom Design,,Etsy,5.89,5.89,17.18,10.26,1.03,17.18,1,
4050871673,5/2/2026 10:57:20 AM,Lumina Custom Design,,Etsy,13.01,13.81,72.75,52.22,6.44,72.47,1,
4050886841,5/2/2026 11:12:07 AM,Etched Elegance Shop,,Etsy,9.63,11.58,33.48,19.59,2.03,33.20,1,
4050882959,5/2/2026 11:08:19 AM,YemlihaDesign,,Etsy,10.63,11.82,106.11,86.20,8.09,106.11,4,
4045505282,5/2/2026 11:09:27 AM,YemlihaDesign,,Etsy,8.07,9.94,37.75,26.05,1.76,37.75,1,
4050890401,5/2/2026 11:15:36 AM,Etched Elegance Shop,,Etsy,6.18,7.30,25.51,16.32,1.89,25.51,1,
4050873271,5/2/2026 10:58:47 AM,Woodmark Custom,,Etsy,5.48,7.42,22.82,14.39,1.01,22.82,1,
4050914097,5/2/2026 11:39:00 AM,Woodmark Custom,,Etsy,5.48,7.42,26.51,17.59,1.50,26.51,1,
4045495006,5/2/2026 11:00:10 AM,Woodmark Custom,,Etsy,6.00,7.86,30.62,20.79,1.69,30.34,1,
4045544212,5/2/2026 11:45:19 AM,Woodmark Custom,,Etsy,6.37,7.42,30.89,21.46,2.01,30.89,1,
4045550658,5/2/2026 11:51:16 AM,Woodmark Custom,,Etsy,6.37,7.42,34.77,24.70,2.65,34.77,1,
4050934023,5/2/2026 11:57:58 AM,Woodmark Custom,,Etsy,5.48,7.42,16.49,7.99,1.08,16.49,1,
4050956847,5/2/2026 12:18:08 PM,Etched Elegance Shop,,Etsy,6.73,7.38,28.86,19.59,1.89,28.86,1,
4045593818,5/2/2026 12:33:08 PM, Velvet Whiskey Design,,Etsy,13.98,14.17,74.20,55.10,4.93,74.20,1,
4045580004,5/2/2026 12:19:14 PM,Etched Elegance Shop,,Etsy,17.99,110.67,550.82,403.81,36.34,550.82,1,
4045547522,5/2/2026 11:48:20 AM,Etched Elegance Shop,,Etsy,10.53,33.48,265.68,232.20,0.00,265.68,1,
4045549406,5/2/2026 11:50:03 AM,YemlihaDesign,,Etsy,8.40,10.80,34.02,21.55,1.67,34.02,1,
4050957831,5/2/2026 12:19:03 PM,Woodmark Custom,,Etsy,5.48,7.42,25.98,17.59,0.97,25.98,1,
4045629078,5/2/2026 1:08:09 PM,Devran Custom Design,,Etsy,8.13,8.13,29.99,19.61,2.25,29.99,1,
4045620186,5/2/2026 12:59:16 PM, Velvet Whiskey Design,,Etsy,9.95,9.95,37.30,24.59,2.76,37.30,1,
4045622166,5/2/2026 1:01:23 PM,YemlihaDesign,,Etsy,6.52,5.89,18.17,10.80,1.48,18.17,1,
4045635042,5/2/2026 1:14:00 PM,Lumina Custom Design,,Etsy,6.24,6.24,21.53,14.06,1.23,21.53,1,
4051006837,5/2/2026 1:00:38 PM,Etched Elegance Shop,,Etsy,6.25,7.38,27.76,19.35,1.03,27.76,1,
